id,name,teams_number,market_value,players_number,avg_age,foreigners,country_id
ligue-1,Ligue 1,,,,,,50
ligue-2,Ligue 2,,,,,,50
championnat-national,Championnat National,,,,,,50
championnat-national-2-groupe-a,CFA - Grp. A,,,,,,50
championnat-national-2-groupe-b,CFA - Grp. B,,,,,,50
championnat-national-2-groupe-c,CFA - Grp. C,,,,,,50
championnat-national-2-groupe-d,CFA - Grp. D,,,,,,50
coupe-de-france,Coupe de France,,,,,,50
trophee-des-champions,Trophée des Champions,,,,,,50
coupe-de-la-ligue,Coupe de la Ligue,,,,,,50
coupe-gambardella,Coupe Gambardella,,,,,,50
championnat-national-3-paris-ile-de-france,N3 - Paris Île-de-Fr.,,,,,,50
relegation-ligue-1,Rel. Ligue 1,,,,,,50
relegation-ligue-2,Rel. Ligue 2,,,,,,50
laliga,LaLiga,,,,,,157
laliga2,LaLiga SmartBank,,,,,,157
segunda-division-b-grupo-i-bis-20-21-,2ª B - Grupo I,,,,,,157
segunda-division-b-grupo-ii-bis-20-21-,2ª B - Grupo II,,,,,,157
segunda-division-b-grupo-iii-bis-20-21-,2ª B - Grupo III,,,,,,157
segunda-division-b-grupo-iv-bis20-21-,2ª B - Grupo IV,,,,,,157
copa-del-rey,Copa del Rey,,,,,,157
supercopa,Supercopa,,,,,,157
promocion-de-ascenso-a-segunda-division-b,Seg. B Play-off,,,,,,157
aufstiegs-playoff-laliga,Promoción LaLiga,,,,,,157
aufstiegs-playoff-laliga2,Ascenso LaLiga2,,,,,,157
copa-real-federacion-espanola-de-futbol,Copa Federation,,,,,,157
abstiegs-playoffs-segunda-division-b,Permanencia 2ª Federación,,,,,,157
championnat-national-3-auvergne-rhone-alpes,N3 - Auvergne-Rhône-A.,,,,,,50
championnat-national-3-bourgogne-franche-comte,N3 - Bourg.-Fr.-Comté,,,,,,50
championnat-national-3-bretagne,N3 - Bretagne,,,,,,50
championnat-national-3-corse-mediterranee,N3 - Corse-Méditer.,,,,,,50
championnat-national-3-grand-est,N3 - Grand Est,,,,,,50
championnat-national-3-hauts-de-france,N3 - Hauts-de-France,,,,,,50
championnat-national-3-nouvelle-aquitaine,N3 - Nouvelle-Aqu.,,,,,,50
championnat-national-3-normandie,N3 - Normandie,,,,,,50
championnat-national-3-occitanie,N3 - Occitanie,,,,,,50
championnat-national-3-pays-de-la-loire,N3 - P. de la Loire,,,,,,50
championnat-national-3-centre-val-de-loire,N3 - Centre-Val de Loire,,,,,,50
segunda-division-b-grupo-v-bis-20-21-,2ª B - Grupo V,,,,,,157
segunda-division-b-aufstiegsphase,2ª B - Fase de ascenso,,,,,,157
segunda-division-b-abstiegsrunde,2ª B - Fase de descenso,,,,,,157
segunda-division-b-zwischenphase,2ª B - Fase intermedia,,,,,,157
serie-a,Serie A,,,,,,75
serie-b,Serie B,,,,,,75
serie-c-girone-a,Serie C-A,,,,,,75
serie-c-girone-b,Serie C-B,,,,,,75
serie-c-girone-c,Serie C-C,,,,,,75
serie-d-girone-a,Serie D - A,,,,,,75
serie-d-girone-b,Serie D - B,,,,,,75
serie-d-girone-c,Serie D - C,,,,,,75
serie-d-girone-d,Serie D - D,,,,,,75
serie-d-girone-e,Serie D - E,,,,,,75
serie-d-girone-f,Serie D - F,,,,,,75
serie-d-girone-g,Serie D - G,,,,,,75
serie-d-girone-h,Serie D - H,,,,,,75
serie-d-girone-i,Serie D - I,,,,,,75
primavera-1,Primavera 1,,,,,,75
primavera-2a,Primavera 2 - A,,,,,,75
primavera-2b,Primavera 2 - B,,,,,,75
campionato-nazionale-under-18,Under 18,,,,,,75
campionato-nazionale-under-17-a,Under 17 - A,,,,,,75
campionato-nazionale-under-17-b,Under 17 - B,,,,,,75
campionato-nazionale-under-17-c,Under 17 - C,,,,,,75
coppa-italia,Italy Cup,,,,,,75
supercoppa-italiana,Supercoppa Italiana,,,,,,75
coppa-italia-primavera,Coppa Primavera,,,,,,75
play-off-serie-c,Playoff Serie C,,,,,,75
play-out-serie-c,Playout Serie C,,,,,,75
serie-b-playoff,Serie B Play-off,,,,,,75
serie-b-play-out,Serie B Play-out,,,,,,75
viareggio-cup,Viareggio Cup,,,,,,75
coppa-italia-serie-c,Coppa Serie C,,,,,,75
coppa-italia-serie-d,Coppa Serie D,,,,,,75
supercoppa-primavera,Supercoppa Primavera,,,,,,75
campionato-primavera-finalrunde,Primavera Fase Finale,,,,,,75
play-off-out-primavera,Play-off/out U19,,,,,,75
campionato-nazionale-under-18-fase-finale,Under 18 - Finals,,,,,,75
campionato-under-17-finalrunde,Under 17 - Finals,,,,,,75
meisterrunde-serie-d-,Meisterrunde,,,,,,75
serie-d-play-out,Serie D play-out,,,,,,75
serie-d-play-off,Play-off Serie D,,,,,,75
supercoppa-di-serie-c,Superc. Serie C,,,,,,75
supercoppa-primavera-2,Supercoppa Primavera 2,,,,,,75
supercoppa-under-17,Supercoppa U17,,,,,,75
primera-division-r-f-e-f-grupo-i,Primera Federación - Gr. I,,,,,,157
primera-division-r-f-e-f-grupo-ii,Primera Federación - Gr. II,,,,,,157
segunda-division-r-f-e-f-grupo-i,Segunda Federación - Gr. I,,,,,,157
segunda-division-r-f-e-f-grupo-ii,Segunda Federación - Gr. II,,,,,,157
segunda-division-r-f-e-f-grupo-iii,Segunda Federación - Gr. III,,,,,,157
segunda-division-r-f-e-f-grupo-iv,Segunda Federación - Gr. IV,,,,,,157
segunda-division-r-f-e-f-grupo-v,Segunda Federación - Gr. V,,,,,,157
