id,name,birth_date,age,height,current_club_id,club_joined,contract_expires,birth_place,citizenship,position,national_id,current_value,agent,foot,shirt_number
207302,Sergio Rico,1993-09-01 00:00:00,30.0,196.0,583,2022-01-21 00:00:00,2024-06-30 00:00:00,,,Goalkeeper,,4000000.0,,right,
316884,Dominik Greif,1997-04-06 00:00:00,26.0,197.0,237,2021-07-06 00:00:00,2026-06-30 00:00:00,,,Goalkeeper,,2000000.0,,right,13.0
29051,Manolo Reina,1985-04-01 00:00:00,38.0,186.0,1084,2017-07-06 00:00:00,2024-06-30 00:00:00,,,Goalkeeper,,200000.0,,right,
632913,Pere García,2002-03-22 00:00:00,21.0,193.0,1084,,2023-06-30 00:00:00,,,Goalkeeper,,,,right,
741285,Ferran Quetglás,2005-06-06 00:00:00,18.0,188.0,1084,,2024-06-30 00:00:00,,,Goalkeeper,,,,right,
277384,Martin Valjent,1995-12-11 00:00:00,28.0,187.0,237,2019-07-01 00:00:00,2025-06-30 00:00:00,,,Centre-Back,,4000000.0,,right,24.0
278296,Antonio Raíllo,1991-10-08 00:00:00,32.0,187.0,237,2016-07-01 00:00:00,2026-06-30 00:00:00,,,Centre-Back,,2000000.0,,,21.0
378463,Franco Russo,1994-10-25 00:00:00,29.0,186.0,237,2018-07-09 00:00:00,2026-06-30 00:00:00,,,Centre-Back,,1200000.0,,right,
237499,Aleksandar Sedlar,1991-12-13 00:00:00,32.0,180.0,1108,2019-07-12 00:00:00,2024-06-30 00:00:00,,,Centre-Back,,500000.0,,right,
632495,Josep Gayá,2000-07-07 00:00:00,23.0,,1108,,2023-06-30 00:00:00,,,Centre-Back,,,,,
166677,Brian Oliván,1994-04-01 00:00:00,29.0,175.0,714,2020-09-09 00:00:00,2025-06-30 00:00:00,,,Left-Back,,2500000.0,,left,
65318,Jaume Costa,1988-03-18 00:00:00,35.0,171.0,237,2021-07-07 00:00:00,2023-06-30 00:00:00,,,Left-Back,,1200000.0,,left,18.0
628488,Marc Carmona,2001-01-08 00:00:00,22.0,,237,,,,,Left-Back,,,,left,
947432,Marcos Fernández,2003-07-17 00:00:00,20.0,,237,,2023-06-30 00:00:00,,,Left-Back,,,,,
339699,Giovanni González,1994-09-20 00:00:00,29.0,178.0,237,2022-01-29 00:00:00,2024-06-30 00:00:00,,,Right-Back,,1500000.0,,right,20.0
632498,Miguelito,2001-01-12 00:00:00,22.0,,237,,2023-06-30 00:00:00,,,Right-Back,,,,,
442805,Iddrisu Baba,1996-01-22 00:00:00,27.0,182.0,237,2018-07-01 00:00:00,2024-06-30 00:00:00,,,Central Midfield,,3500000.0,,right,12.0
126751,Iñigo Ruiz de Galarreta,1993-08-06 00:00:00,30.0,175.0,237,2019-09-01 00:00:00,2023-06-30 00:00:00,,,Central Midfield,,1800000.0,,right,4.0
513031,Antonio Sánchez,1997-04-22 00:00:00,26.0,179.0,237,2018-07-01 00:00:00,2024-06-30 00:00:00,,,Central Midfield,,1500000.0,,right,10.0
72479,Clément Grenier,1991-01-07 00:00:00,32.0,186.0,237,2022-03-03 00:00:00,2024-06-30 00:00:00,,,Central Midfield,,1000000.0,,right,8.0
58799,Salva Sevilla,1984-03-18 00:00:00,39.0,178.0,1108,2017-08-28 00:00:00,2023-06-30 00:00:00,,,Central Midfield,,300000.0,,right,
557149,Kang-in Lee,2001-02-19 00:00:00,22.0,173.0,237,2021-08-30 00:00:00,2025-06-30 00:00:00,,,Attacking Midfield,,6000000.0,,left,19.0
139435,Dani Rodríguez,1988-06-06 00:00:00,35.0,178.0,237,2018-07-01 00:00:00,2024-06-30 00:00:00,,,Attacking Midfield,,1200000.0,,right,14.0
632501,Thomas Giaquinto,2000-03-20 00:00:00,23.0,175.0,237,,2023-06-30 00:00:00,,,Attacking Midfield,,150000.0,,right,
339820,Amath Ndiaye,1996-07-16 00:00:00,27.0,173.0,237,2021-07-01 00:00:00,2025-06-30 00:00:00,,,Left Winger,,2000000.0,,right,23.0
706138,Javi Llabrés,2002-09-11 00:00:00,21.0,174.0,237,2022-07-01 00:00:00,2023-06-30 00:00:00,,,Left Winger,,,,both,
405398,Takefusa Kubo,2001-06-04 00:00:00,22.0,173.0,681,2021-08-11 00:00:00,2027-06-30 00:00:00,,,Right Winger,,7500000.0,,left,
505673,Víctor Mollejo,2001-01-21 00:00:00,22.0,176.0,681,2021-02-01 00:00:00,2023-06-30 00:00:00,,,Right Winger,,3000000.0,,left,
331498,Jordi Mboula,1999-03-16 00:00:00,24.0,183.0,681,2020-09-17 00:00:00,2023-06-30 00:00:00,,,Right Winger,,1500000.0,,right,
627294,Fer Niño,2000-10-24 00:00:00,23.0,191.0,681,2021-08-18 00:00:00,2024-06-30 00:00:00,,,Centre-Forward,,3000000.0,,right,
51510,Ángel Rodríguez,1987-04-26 00:00:00,36.0,171.0,237,2021-07-02 00:00:00,2023-06-30 00:00:00,,,Centre-Forward,,2000000.0,,right,22.0
177452,Abdón Prats,1992-12-07 00:00:00,31.0,181.0,237,2017-07-04 00:00:00,2024-06-30 00:00:00,,,Centre-Forward,,1500000.0,,left,9.0
678194,Matthew Hoppe,2001-03-13 00:00:00,22.0,191.0,237,2021-08-31 00:00:00,2023-05-31 00:00:00,,,Centre-Forward,,1000000.0,,right,
632499,Pablo Gálvez,2001-10-30 00:00:00,22.0,,237,,2023-06-30 00:00:00,,,Centre-Forward,,,,,
16498,Ramazan Özcan,1984-06-28 00:00:00,39.0,185.0,237,2011-07-01 00:00:00,,,,Goalkeeper,,1250000.0,,left,
73517,Örjan Nyland,1990-09-10 00:00:00,33.0,192.0,23826,2015-07-01 00:00:00,2023-06-30 00:00:00,,,Goalkeeper,,1000000.0,,right,
196826,Christian Ortag,1995-01-14 00:00:00,28.0,197.0,23826,2014-07-01 00:00:00,2025-06-30 00:00:00,,,Goalkeeper,,100000.0,,right,
52348,Benjamin Hübner,1989-07-04 00:00:00,34.0,193.0,23826,2014-07-01 00:00:00,,,,Centre-Back,,2250000.0,,left,
17025,Marvin Matip,1985-09-25 00:00:00,38.0,184.0,23826,2010-08-31 00:00:00,,,,Centre-Back,,1250000.0,,right,
179634,Robert Bauer,1995-04-09 00:00:00,28.0,183.0,23826,2014-07-01 00:00:00,2023-06-30 00:00:00,,,Centre-Back,,1250000.0,,right,
43257,Romain Brégerie,1986-08-09 00:00:00,37.0,,23826,2015-07-01 00:00:00,,,,Centre-Back,,1000000.0,,,
320889,Thomas Blomeyer,1996-04-24 00:00:00,27.0,191.0,23826,,,,,Centre-Back,,50000.0,,both,
31514,Markus Suttner,1987-04-16 00:00:00,36.0,179.0,23826,2015-07-01 00:00:00,,,,Left-Back,,1500000.0,,left,
154396,Danilo Soares,1991-10-29 00:00:00,32.0,170.0,80,2013-07-01 00:00:00,2024-06-30 00:00:00,,,Left-Back,,1500000.0,,left,
42318,Konstantin Engel,1988-07-27 00:00:00,35.0,179.0,80,2013-09-12 00:00:00,2023-06-30 00:00:00,,,Left-Back,,500000.0,,right,
31216,Tobias Levels,1986-11-22 00:00:00,37.0,,80,2017-08-26 00:00:00,,,,Right-Back,,1000000.0,,,
85906,Danny da Costa,1993-07-13 00:00:00,30.0,187.0,39,2014-07-01 00:00:00,2025-06-30 00:00:00,,,Right-Back,,1000000.0,,right,
192300,Max Christiansen,1996-09-25 00:00:00,27.0,185.0,65,2015-01-09 00:00:00,2023-06-30 00:00:00,,,Defensive Midfield,,2000000.0,,right,
56435,Roger,1985-08-10 00:00:00,38.0,184.0,65,2012-08-29 00:00:00,,,,Defensive Midfield,,1250000.0,,right,
94598,Stefan Wannenwetsch,,,177.0,65,2014-07-25 00:00:00,,,,Defensive Midfield,,300000.0,,right,
82873,Pascal Groß,1991-06-15 00:00:00,32.0,181.0,1237,2012-07-01 00:00:00,2025-06-30 00:00:00,,,Central Midfield,,4000000.0,,right,
58500,Alfredo Morales,1990-05-12 00:00:00,33.0,183.0,1237,2013-07-01 00:00:00,2023-12-31 00:00:00,,,Central Midfield,,2000000.0,,right,
56711,Almog Cohen,1988-09-01 00:00:00,35.0,170.0,1237,2013-07-30 00:00:00,,,,Central Midfield,,600000.0,,right,
126214,Mathew Leckie,1991-02-04 00:00:00,32.0,181.0,1237,2014-07-01 00:00:00,2024-06-30 00:00:00,,,Left Winger,,2000000.0,,right,
257767,Aloy Ihenacho,1995-07-21 00:00:00,28.0,182.0,1237,,,,,Left Winger,,50000.0,,left,
116792,Stefan Lex,1989-11-27 00:00:00,34.0,178.0,1237,2014-01-17 00:00:00,2023-06-30 00:00:00,,,Right Winger,,1000000.0,,right,
131561,Thomas Pledl,1994-05-23 00:00:00,29.0,174.0,1237,2015-01-10 00:00:00,2023-06-30 00:00:00,,,Right Winger,,500000.0,,right,
187496,Maurice Multhaup,1996-12-15 00:00:00,27.0,173.0,1237,2015-08-31 00:00:00,2024-06-30 00:00:00,,,Right Winger,,300000.0,,right,
80031,Darío Lezcano,1990-06-30 00:00:00,33.0,178.0,1237,2016-01-15 00:00:00,,,,Centre-Forward,,3000000.0,,right,
59054,Lukas Hinterseer,1991-03-28 00:00:00,32.0,192.0,1237,2014-07-01 00:00:00,2024-06-30 00:00:00,,,Centre-Forward,,2000000.0,,right,
49501,Elias Kachunga,1992-04-22 00:00:00,31.0,178.0,1237,2015-07-01 00:00:00,2023-06-30 00:00:00,,,Centre-Forward,,1500000.0,,right,
42952,Moritz Hartmann,1986-06-20 00:00:00,37.0,183.0,1237,2009-07-01 00:00:00,,,,Centre-Forward,,1000000.0,,right,
38746,Tomas Pekhart,1989-05-26 00:00:00,34.0,194.0,1237,2014-08-28 00:00:00,2024-06-30 00:00:00,,,Centre-Forward,,500000.0,,right,
45672,Kevin Trapp,1990-07-08 00:00:00,33.0,189.0,24,2015-07-08 00:00:00,2026-06-30 00:00:00,,,Goalkeeper,,10000000.0,,right,
25508,Salvatore Sirigu,1987-01-12 00:00:00,36.0,192.0,430,2011-07-28 00:00:00,2023-06-30 00:00:00,,,Goalkeeper,,4000000.0,,right,
282028,Rémy Descamps,1996-06-25 00:00:00,27.0,196.0,995,2017-07-01 00:00:00,2024-06-30 00:00:00,,,Goalkeeper,,150000.0,,left,
181767,Marquinhos,1994-05-14 00:00:00,29.0,183.0,583,2013-07-19 00:00:00,2028-06-30 00:00:00,,,Centre-Back,,35000000.0,,right,5.0
46741,David Luiz,1987-04-22 00:00:00,36.0,189.0,583,2014-07-01 00:00:00,2023-12-31 00:00:00,,,Centre-Back,,30000000.0,,right,
29241,Thiago Silva,1984-09-22 00:00:00,39.0,181.0,631,2012-07-14 00:00:00,2024-06-30 00:00:00,,,Centre-Back,,12000000.0,,right,
282041,Presnel Kimpembe,1995-08-13 00:00:00,28.0,183.0,583,2015-07-01 00:00:00,2024-06-30 00:00:00,,,Centre-Back,,8000000.0,,left,3.0
126710,Layvin Kurzawa,1992-09-04 00:00:00,31.0,182.0,931,2015-08-27 00:00:00,2023-06-30 00:00:00,,,Left-Back,,22000000.0,,left,
4317,Maxwell,1981-08-27 00:00:00,42.0,176.0,931,2012-01-12 00:00:00,,,,Left-Back,,1000000.0,,left,
296422,Fodé Ballo-Touré,1997-01-03 00:00:00,26.0,182.0,5,,2025-06-30 00:00:00,,,Left-Back,,,,left,
127032,Serge Aurier,1992-12-24 00:00:00,31.0,176.0,5,2015-07-01 00:00:00,2023-06-30 00:00:00,,,Right-Back,,15000000.0,,right,
100986,Thomas Meunier,1991-09-12 00:00:00,32.0,191.0,16,2016-07-03 00:00:00,2024-06-30 00:00:00,,,Right-Back,,9000000.0,,right,
135492,Youssouf Sabaly,1993-03-05 00:00:00,30.0,173.0,150,2013-07-01 00:00:00,2026-06-30 00:00:00,,,Right-Back,,4500000.0,,right,
324800,Alec Georgen,1998-09-17 00:00:00,25.0,172.0,150,,2023-06-30 00:00:00,,,Right-Back,,150000.0,,right,
45184,Grzegorz Krychowiak,1990-01-29 00:00:00,33.0,187.0,150,2016-07-03 00:00:00,2023-06-30 00:00:00,,,Defensive Midfield,,25000000.0,,right,
127160,Benjamin Stambouli,1990-08-13 00:00:00,33.0,180.0,150,2015-07-21 00:00:00,2023-06-30 00:00:00,,,Defensive Midfield,,6000000.0,,right,
7602,Thiago Motta,1982-08-28 00:00:00,41.0,187.0,150,2012-01-31 00:00:00,,,,Defensive Midfield,,2000000.0,,left,
362344,Lorenzo Callegari,1998-02-27 00:00:00,25.0,174.0,150,,2023-12-31 00:00:00,,,Defensive Midfield,,,,right,
