id,name,birth_date,age,height,current_club_id,club_joined,contract_expires,birth_place,citizenship,position,national_id,current_value,agent,foot,shirt_number
p-238223,Ederson,1993-08-17 00:00:00,29.0,188.0,c-281,2017-07-01 00:00:00,2026-06-30 00:00:00,,,Goalkeeper,n-3439,45000000.0,Gestifute,left,
p-85941,Stefan Ortega,1992-11-06 00:00:00,30.0,185.0,c-281,2022-07-01 00:00:00,2025-06-30 00:00:00,,,Goalkeeper,n-5710,6000000.0,neblung ...,right,
p-14555,Scott Carson,1985-09-03 00:00:00,37.0,188.0,c-281,2021-07-20 00:00:00,2023-06-30 00:00:00,,,Goalkeeper,n-3299,250000.0,Wasserman,right,
p-258004,Ruben Dias,1997-05-14 00:00:00,26.0,187.0,c-281,2020-09-29 00:00:00,2027-06-30 00:00:00,,,Defender - Centre-Back,n-3300,75000000.0,Gestifute,right,
p-177476,Nathan Ake,1995-02-18 00:00:00,28.0,180.0,c-281,2020-08-05 00:00:00,2025-06-30 00:00:00,,,Defender - Centre-Back,n-3379,35000000.0,Wasserman,left,
p-186590,John Stones,1994-05-28 00:00:00,28.0,,c-281,2016-08-09 00:00:00,2026-06-30 00:00:00,,,Defender - Centre-Back,n-3299,30000000.0,Wasserman,right,
p-176553,Aymeric Laporte,1994-05-27 00:00:00,28.0,189.0,c-281,2025-06-30 00:00:00,2019-02-22 00:00:00,,,Defender - Centre-Back,n-3375,30000000.0,Manchester City,left,
p-284730,Manuel Akanji,1995-07-19 00:00:00,27.0,188.0,c-281,2022-09-01 00:00:00,2027-06-30 00:00:00,,,Defender - Centre-Back,n-3384,30000000.0,IFM,right,
p-366930,Sergio Gomez,2000-09-04 00:00:00,22.0,171.0,c-281,2022-08-16 00:00:00,2026-06-30 00:00:00,,,Defender - Left-Back,n-9567,15000000.0,SEG,left,
p-157495,Benjamin Mendy,1994-07-17 00:00:00,28.0,,c-281,2017-07-24 00:00:00,2023-06-30 00:00:00,,,Defender - Left-Back,n-3377,,Sport Cover,left,
p-95424,Kyle Walker,1990-05-28 00:00:00,32.0,183.0,c-281,2017-07-14 00:00:00,2024-06-30 00:00:00,,,Defender - Right-Back,n-3299,15000000.0,CAA Base Ltd,right,
p-701057,Rico Lewis,2004-11-21 00:00:00,18.0,169.0,c-281,2022-07-01 00:00:00,2024-06-30 00:00:00,,,Defender - Right-Back,n-9565,15000000.0,CAA Base Ltd,right,
p-357565,Rodri,1996-06-22 00:00:00,26.0,191.0,c-281,2019-07-04 00:00:00,2027-06-30 00:00:00,,,midfield - Defensive Midfield,n-3375,80000000.0,Pablo Barquero,right,
p-351749,Kalvin Phillips,1995-12-02 00:00:00,27.0,179.0,c-281,2022-07-04 00:00:00,2028-06-30 00:00:00,,,midfield - Defensive Midfield,n-3299,35000000.0,CAA Stellar,right,
p-668547,Maximo Perrone,2003-01-07 00:00:00,20.0,,c-281,2028-06-30 00:00:00,,,,midfield - Defensive Midfield,n-11940,10000000.0,Manchester City,left,
p-53622,Ilkay Gundogan,1990-10-24 00:00:00,32.0,180.0,c-281,2016-07-01 00:00:00,2023-06-30 00:00:00,,,midfield - Central Midfield,n-3262,25000000.0,KIN Partners,right,
p-88755,Kevin De Bruyne,1991-06-28 00:00:00,31.0,,c-281,2025-06-30 00:00:00,2021-04-07 00:00:00,,,midfield - Attacking Midfield,n-3382,80000000.0,Manchester City,right,
p-241641,Bernardo Silva,1994-08-10 00:00:00,28.0,173.0,c-281,2017-07-01 00:00:00,2025-06-30 00:00:00,,,midfield - Attacking Midfield,n-3300,80000000.0,Gestifute,left,
p-568177,Cole Palmer,2002-05-06 00:00:00,21.0,189.0,c-281,2021-07-01 00:00:00,2026-06-30 00:00:00,,,midfield - Attacking Midfield,n-9565,15000000.0,CAA Base Ltd,left,
p-406635,Phil Foden,2000-05-28 00:00:00,22.0,171.0,c-281,2027-06-30 00:00:00,2022-10-14 00:00:00,,,Attack - Left Winger,n-3299,110000000.0,Manchester City,left,
p-203460,Jack Grealish,1995-09-10 00:00:00,27.0,180.0,c-281,2021-08-05 00:00:00,2027-06-30 00:00:00,,,Attack - Left Winger,n-3299,70000000.0,CAA Stellar,right,
p-171424,Riyad Mahrez,1991-02-21 00:00:00,32.0,179.0,c-281,2025-06-30 00:00:00,2022-07-15 00:00:00,,,Attack - Right Winger,n-3614,30000000.0,Manchester City,left,
p-418560,Erling Haaland,2000-07-21 00:00:00,22.0,195.0,c-281,2022-07-01 00:00:00,2027-06-30 00:00:00,,,Attack - Centre-Forward,n-3440,170000000.0,Rafaela Pimenta,left,
p-576024,Julian Alvarez,2000-01-31 00:00:00,23.0,,c-281,2022-01-31 00:00:00,2028-06-30 00:00:00,,,Attack - Centre-Forward,n-3437,50000000.0,Fernando Hidalgo,right,
p-442531,Edouard Mendy,1992-03-01 00:00:00,31.0,194.0,c-631,2020-09-24 00:00:00,2025-06-30 00:00:00,,,Goalkeeper,n-3499,18000000.0,LIAN Sports Group,right,
p-192279,Kepa Arrizabalaga,1994-10-03 00:00:00,28.0,186.0,c-631,2018-08-08 00:00:00,2025-06-30 00:00:00,,,Goalkeeper,n-3375,15000000.0,AC Talent,right,
p-656316,Gabriel Slonina,2004-05-15 00:00:00,19.0,193.0,c-631,2022-08-02 00:00:00,2028-06-30 00:00:00,,,Goalkeeper,n-11946,8000000.0,SXI,right,
p-116648,Marcus Bettinelli,1992-05-24 00:00:00,31.0,,c-631,2021-07-28 00:00:00,2026-06-30 00:00:00,,,Goalkeeper,n-3299,2000000.0,World in Motion,right,
p-475411,Wesley Fofana,2000-12-17 00:00:00,22.0,,c-631,2022-08-31 00:00:00,2029-06-30 00:00:00,,,Defender - Centre-Back,n-9323,65000000.0,TTMA,right,
p-463603,Benoit Badiashile,2001-03-26 00:00:00,22.0,194.0,c-631,2030-06-30 00:00:00,adidas,,,Defender - Centre-Back,n-9323,40000000.0,Chelsea FC,left,
p-93128,Kalidou Koulibaly,1991-06-20 00:00:00,31.0,186.0,c-631,2022-07-16 00:00:00,2026-06-30 00:00:00,,,Defender - Centre-Back,n-3499,25000000.0,LIAN Sports Group,right,
p-346314,Trevoh Chalobah,1999-07-05 00:00:00,23.0,192.0,c-631,2021-07-01 00:00:00,2028-06-30 00:00:00,,,Defender - Centre-Back,n-9565,22000000.0,CAA Base Ltd,right,
