id,name,country_id,foundation_date,value,stadium,squad_size,average_age,national_players,current_transfer_record,foreigners,season,market_value,league_id
c-631,Chelsea FC,n-189,,1020000000.0,Stamford Bridge,32,25.5,23,-543660000.0,21.0,,,
c-281,Manchester City,n-189,,1050000000.0,Etihad Stadium,24,26.8,17,11670000.0,16.0,,,
c-985,Manchester United,n-189,,795700000.0,Old Trafford,32,26.0,18,-230030000.0,20.0,,,
c-31,Liverpool FC,n-189,,879000000.0,Anfield,30,26.7,17,-56600000.0,21.0,,,
c-11,Arsenal FC,n-189,,890000000.0,Emirates Stadium,23,25.2,17,-168560000.0,16.0,,,
c-148,Tottenham Hotspur,n-189,,680300000.0,Tottenham Hotspur Stadium,25,26.7,16,-139150000.0,17.0,,,
c-405,Aston Villa,n-189,,437000000.0,Villa Park,23,27.2,14,-46140000.0,16.0,,,
c-29,Everton FC,n-189,,352900000.0,Goodison Park,25,27.4,8,25400000.0,11.0,,,
c-289,Sunderland AFC,n-189,,59250000.0,Stadium of Light,26,23.5,6,-6060000.0,12.0,,,
c-379,West Ham United,n-189,,451500000.0,London Stadium,22,28.3,13,-172450000.0,16.0,,,
c-762,Newcastle United,n-189,,494300000.0,St James' Park,29,27.4,11,-172050000.0,17.0,,,
c-931,Fulham FC,n-189,,253500000.0,Craven Cottage,24,28.1,14,-49300000.0,22.0,,,
c-355,Bolton Wanderers,n-189,,19500000.0,University of Bolton Stadium,25,26.1,3,30000.0,14.0,,,
c-337,Birmingham City,n-189,,49000000.0,St Andrew's,26,26.3,7,-1610000.0,11.0,,,
c-512,Stoke City,n-189,,52250000.0,bet365 Stadium,24,26.7,6,17000000.0,9.0,,,
c-164,Blackburn Rovers,n-189,,70650000.0,Ewood Park,27,24.0,4,-1750000.0,8.0,,,
c-984,West Bromwich Albion,n-189,,63950000.0,The Hawthorns,25,27.8,4,-1350000.0,8.0,,,
c-543,Wolverhampton Wanderers,n-189,,398700000.0,Molineux Stadium,28,26.2,14,-114240000.0,24.0,,,
