id,player_id,origin_club_id,destination_club_id,season,market_value,fee
,p-37367,c-12181,c-123,2023,50000.0,
,p-37367,c-21322,c-12181,2022,50000.0,
,p-37367,c-7971,c-21322,2021,25000.0,
,p-37367,c-648,c-7971,2017,300000.0,
,p-37367,c-993,c-648,2016,300000.0,
,p-37367,c-11596,c-993,2015,400000.0,
,p-37367,c-7971,c-11596,2014,,
,p-37367,c-940,c-7971,2011,1200000.0,
,p-37367,c-13,c-940,2008,900000.0,
,p-37367,c-7971,c-13,2007,100000.0,
,p-37367,c-13,c-7971,2007,300000.0,
,p-37367,c-3679,c-13,2006,300000.0,
,p-37367,c-11669,c-3679,2004,,
,p-37367,c-16075,c-11669,2002,,
,p-298134,c-47421,c-49957,2020,100000.0,
,p-298134,c-67212,c-47421,2020,100000.0,
,p-298134,c-24420,c-67212,2019,100000.0,
,p-298134,c-7971,c-24420,2018,100000.0,
,p-298134,c-21557,c-7971,2014,,
,p-537128,c-42925,c-41897,2021,,
,p-537128,c-15066,c-42925,2018,,
,p-537128,c-85559,c-15066,2017,,
,p-537128,c-53397,c-85559,2016,,
,p-63041,c-78105,c-29271,2022,100000.0,
,p-63041,c-4030,c-78105,2021,100000.0,
,p-63041,c-515,c-4030,2020,100000.0,
,p-63041,c-24420,c-515,2019,100000.0,
,p-63041,c-7971,c-24420,2018,300000.0,
,p-63041,c-630,c-7971,2017,300000.0,
,p-63041,c-1244,c-630,2015,300000.0,
,p-63041,c-1532,c-1244,2013,,
,p-63041,c-6688,c-1532,2011,,
,p-63041,c-6665,c-6688,2009,,
,p-63041,c-16687,c-6665,2009,,
,p-63041,c-8516,c-16687,2008,,
,p-63041,c-28861,c-8516,2006,,
,p-57941,c-7971,c-123,2020,,
,p-57941,c-366,c-7971,2017,300000.0,
,p-57941,c-630,c-366,2017,300000.0,
,p-57941,c-366,c-630,2016,300000.0,
,p-57941,c-940,c-366,2015,600000.0,
,p-57941,c-366,c-940,2015,800000.0,
,p-57941,c-940,c-366,2014,800000.0,
,p-57941,c-1108,c-940,2014,800000.0,
,p-57941,c-940,c-1108,2014,1000000.0,
,p-57941,c-7971,c-940,2012,1000000.0,450000.0
,p-57941,c-1531,c-7971,2011,900000.0,
,p-57941,c-12317,c-1531,2007,,
,p-57941,c-75,c-12317,2006,,
,p-57941,c-15066,c-75,2005,,
,p-57941,c-21557,c-15066,2004,,
,p-63483,c-515,c-58946,2022,50000.0,
,p-63483,c-5650,c-515,2021,50000.0,
,p-63483,c-7971,c-5650,2019,100000.0,
,p-63483,c-34148,c-7971,2016,200000.0,
,p-63483,c-5648,c-34148,2015,200000.0,
,p-63483,c-1532,c-5648,2015,200000.0,
,p-63483,c-1087,c-1532,2013,,
,p-63483,c-6182,c-1087,2012,,
,p-63483,c-2502,c-6182,2011,,
,p-63483,c-8568,c-2502,2008,,
,p-63483,c-2502,c-8568,2008,100000.0,
,p-63483,c-12826,c-2502,2007,,
,p-63483,c-53397,c-12826,2004,,
,p-71997,c-50213,c-123,2020,,
,p-71997,c-76885,c-50213,2019,,
,p-71997,c-50213,c-76885,2019,50000.0,
,p-71997,c-46854,c-50213,2018,50000.0,
,p-71997,c-7971,c-46854,2018,100000.0,
,p-71997,c-34148,c-7971,2016,,
,p-71997,c-11602,c-34148,2014,,
,p-71997,c-13242,c-11602,2012,,
,p-71997,c-18687,c-13242,2011,,
,p-71997,c-4050,c-18687,2010,,
,p-71997,c-11607,c-4050,2009,,
,p-71997,c-14029,c-11607,2008,,
,p-71997,c-9666,c-3705,2007,,
,p-71997,c-3705,c-14029,2007,,
,p-282696,c-8494,c-10718,2019,50000.0,
,p-282696,c-7971,c-8494,2018,50000.0,
,p-282696,c-2464,c-7971,2017,100000.0,
,p-282696,c-2470,c-2464,2016,,
,p-282696,c-39813,c-2470,2014,,
,p-282696,c-14321,c-39813,2013,,
,p-350144,c-49957,c-21548,2022,150000.0,
,p-350144,c-33593,c-49957,2022,150000.0,
,p-350144,c-14707,c-33593,2021,150000.0,
,p-350144,c-4054,c-14707,2020,150000.0,
,p-350144,c-49734,c-4054,2018,50000.0,
,p-350144,c-7971,c-49734,2018,50000.0,
,p-350144,c-15066,c-7971,2016,,
,p-350144,c-21557,c-15066,2015,,
,p-291239,c-2259,c-12605,2022,200000.0,
,p-291239,c-8042,c-2259,2021,200000.0,
,p-291239,c-49734,c-8042,2019,100000.0,
,p-291239,c-515,c-49734,2019,200000.0,
,p-291239,c-7971,c-515,2018,200000.0,
,p-291239,c-21568,c-7971,2017,200000.0,
,p-291239,c-7971,c-21568,2016,250000.0,
,p-291239,c-8494,c-7971,2015,,
,p-291239,c-20963,c-8494,2014,,
,p-8132,c-67212,c-123,2021,,
,p-8132,c-7971,c-67212,2018,,
