player_id,season_id,origin_club_id,destination_club_id,market_value,fee
p-37367,2023.0,c-12181,c-123,50000.0,
p-37367,2022.0,c-21322,c-12181,50000.0,
p-37367,2021.0,c-7971,c-21322,25000.0,
p-37367,2017.0,c-648,c-7971,300000.0,
p-37367,2016.0,c-993,c-648,300000.0,
p-37367,2015.0,c-11596,c-993,400000.0,
p-37367,2014.0,c-7971,c-11596,,
p-37367,2011.0,c-940,c-7971,1200000.0,
p-37367,2008.0,c-13,c-940,900000.0,
p-37367,2007.0,c-7971,c-13,100000.0,
p-37367,2007.0,c-13,c-7971,300000.0,
p-37367,2006.0,c-3679,c-13,300000.0,
p-37367,2004.0,c-11669,c-3679,,
p-37367,2002.0,c-16075,c-11669,,
p-298134,2020.0,c-47421,c-49957,100000.0,
p-298134,2020.0,c-67212,c-47421,100000.0,
p-298134,2019.0,c-24420,c-67212,100000.0,
p-298134,2018.0,c-7971,c-24420,100000.0,
p-298134,2014.0,c-21557,c-7971,,
p-537128,2021.0,c-42925,c-41897,,
p-537128,2018.0,c-15066,c-42925,,
p-537128,2017.0,c-85559,c-15066,,
p-537128,2016.0,c-53397,c-85559,,
p-63041,2022.0,c-78105,c-29271,100000.0,
p-63041,2021.0,c-4030,c-78105,100000.0,
p-63041,2020.0,c-515,c-4030,100000.0,
p-63041,2019.0,c-24420,c-515,100000.0,
p-63041,2018.0,c-7971,c-24420,300000.0,
p-63041,2017.0,c-630,c-7971,300000.0,
p-63041,2015.0,c-1244,c-630,300000.0,
p-63041,2013.0,c-1532,c-1244,,
p-63041,2011.0,c-6688,c-1532,,
p-63041,2009.0,c-6665,c-6688,,
p-63041,2009.0,c-16687,c-6665,,
p-63041,2008.0,c-8516,c-16687,,
p-63041,2006.0,c-28861,c-8516,,
p-57941,2020.0,c-7971,c-123,,
p-57941,2017.0,c-366,c-7971,300000.0,
p-57941,2017.0,c-630,c-366,300000.0,
p-57941,2016.0,c-366,c-630,300000.0,
p-57941,2015.0,c-940,c-366,600000.0,
p-57941,2015.0,c-366,c-940,800000.0,
p-57941,2014.0,c-940,c-366,800000.0,
p-57941,2014.0,c-1108,c-940,800000.0,
p-57941,2014.0,c-940,c-1108,1000000.0,
p-57941,2012.0,c-7971,c-940,1000000.0,450000.0
p-57941,2011.0,c-1531,c-7971,900000.0,
p-57941,2007.0,c-12317,c-1531,,
p-57941,2006.0,c-75,c-12317,,
p-57941,2005.0,c-15066,c-75,,
p-57941,2004.0,c-21557,c-15066,,
p-63483,2022.0,c-515,c-58946,50000.0,
p-63483,2021.0,c-5650,c-515,50000.0,
p-63483,2019.0,c-7971,c-5650,100000.0,
p-63483,2016.0,c-34148,c-7971,200000.0,
p-63483,2015.0,c-5648,c-34148,200000.0,
p-63483,2015.0,c-1532,c-5648,200000.0,
p-63483,2013.0,c-1087,c-1532,,
p-63483,2012.0,c-6182,c-1087,,
p-63483,2011.0,c-2502,c-6182,,
p-63483,2008.0,c-8568,c-2502,,
p-63483,2008.0,c-2502,c-8568,100000.0,
p-63483,2007.0,c-12826,c-2502,,
p-63483,2004.0,c-53397,c-12826,,
p-71997,2020.0,c-50213,c-123,,
p-71997,2019.0,c-76885,c-50213,,
p-71997,2019.0,c-50213,c-76885,50000.0,
p-71997,2018.0,c-46854,c-50213,50000.0,
p-71997,2018.0,c-7971,c-46854,100000.0,
p-71997,2016.0,c-34148,c-7971,,
p-71997,2014.0,c-11602,c-34148,,
p-71997,2012.0,c-13242,c-11602,,
p-71997,2011.0,c-18687,c-13242,,
p-71997,2010.0,c-4050,c-18687,,
p-71997,2009.0,c-11607,c-4050,,
p-71997,2008.0,c-14029,c-11607,,
p-71997,2007.0,c-9666,c-3705,,
p-71997,2007.0,c-3705,c-14029,,
p-282696,2019.0,c-8494,c-10718,50000.0,
p-282696,2018.0,c-7971,c-8494,50000.0,
p-282696,2017.0,c-2464,c-7971,100000.0,
p-282696,2016.0,c-2470,c-2464,,
p-282696,2014.0,c-39813,c-2470,,
p-282696,2013.0,c-14321,c-39813,,
p-350144,2022.0,c-49957,c-21548,150000.0,
p-350144,2022.0,c-33593,c-49957,150000.0,
p-350144,2021.0,c-14707,c-33593,150000.0,
p-350144,2020.0,c-4054,c-14707,150000.0,
p-350144,2018.0,c-49734,c-4054,50000.0,
p-350144,2018.0,c-7971,c-49734,50000.0,
p-350144,2016.0,c-15066,c-7971,,
p-350144,2015.0,c-21557,c-15066,,
p-291239,2022.0,c-2259,c-12605,200000.0,
p-291239,2021.0,c-8042,c-2259,200000.0,
p-291239,2019.0,c-49734,c-8042,100000.0,
p-291239,2019.0,c-515,c-49734,200000.0,
p-291239,2018.0,c-7971,c-515,200000.0,
p-291239,2017.0,c-21568,c-7971,200000.0,
p-291239,2016.0,c-7971,c-21568,250000.0,
p-291239,2015.0,c-8494,c-7971,,
p-291239,2014.0,c-20963,c-8494,,
p-8132,2021.0,c-67212,c-123,,
p-8132,2018.0,c-7971,c-67212,,
p-8132,2009.0,c-171,c-7971,1600000.0,
p-8132,2006.0,c-1532,c-171,400000.0,
p-8132,2002.0,c-3368,c-1532,,
p-8132,1999.0,c-18166,c-3368,,
p-327207,2023.0,c-3302,c-5358,700000.0,
p-327207,2021.0,c-2497,c-3302,700000.0,
p-327207,2019.0,c-7971,c-2497,300000.0,
p-327207,2017.0,c-8494,c-7971,250000.0,
p-327207,2016.0,c-18687,c-8494,,
p-327207,2015.0,c-7078,c-18687,,
p-327207,2013.0,c-2502,c-7078,,
p-327207,2013.0,c-53397,c-2502,,
p-472259,2022.0,c-15066,c-69006,50000.0,
p-472259,2021.0,c-7971,c-15066,50000.0,
p-472259,2021.0,c-4054,c-7971,50000.0,
p-472259,2020.0,c-7971,c-4054,50000.0,
p-472259,2020.0,c-4054,c-7971,50000.0,
p-472259,2020.0,c-7971,c-4054,50000.0,
p-472259,2019.0,c-15066,c-7971,,
p-472259,2016.0,c-21557,c-15066,,
p-328480,2021.0,c-2420,c-3368,2500000.0,
p-328480,2020.0,c-3368,c-2420,1500000.0,
p-328480,2020.0,c-7179,c-3368,900000.0,
p-328480,2019.0,c-3368,c-7179,300000.0,
p-328480,2019.0,c-11516,c-3368,300000.0,
p-328480,2018.0,c-7971,c-11516,300000.0,
p-328480,2017.0,c-11516,c-7971,300000.0,
p-328480,2015.0,c-12798,c-11516,,
p-328480,2014.0,c-25264,c-12798,,
p-328480,2012.0,c-21236,c-25264,,
p-126723,2022.0,c-53283,c-515,100000.0,
p-126723,2022.0,c-515,c-53283,100000.0,
p-126723,2021.0,c-12605,c-515,100000.0,
p-126723,2020.0,c-46854,c-12605,150000.0,
p-126723,2020.0,c-67212,c-46854,150000.0,
p-126723,2019.0,c-515,c-67212,150000.0,
p-126723,2019.0,c-14796,c-515,150000.0,
p-126723,2019.0,c-7971,c-14796,150000.0,
p-126723,2018.0,c-16486,c-7971,250000.0,
p-126723,2016.0,c-1244,c-16486,200000.0,
p-126723,2015.0,c-8519,c-1244,,
p-126723,2015.0,c-1244,c-8519,200000.0,
p-126723,2013.0,c-28868,c-1244,,
p-133984,2023.0,c-14604,c-515,,
p-133984,2022.0,c-515,c-14604,500000.0,
p-133984,2022.0,c-11470,c-515,500000.0,
p-133984,2021.0,c-4321,c-11470,500000.0,
p-133984,2021.0,c-11470,c-4321,500000.0,
p-133984,2019.0,c-11004,c-11470,350000.0,
p-133984,2019.0,c-11470,c-11004,200000.0,
p-133984,2018.0,c-7971,c-11470,200000.0,
p-133984,2017.0,c-21550,c-7971,300000.0,
p-133984,2015.0,c-2687,c-21550,,
p-133984,2014.0,c-21550,c-2687,125000.0,
p-133984,2014.0,c-5622,c-21550,125000.0,
p-133984,2009.0,c-22637,c-5622,,
