,club_id,name,country_id,foundation_date,value,stadium,squad_size,average_age,national_players,current_transform_record,foriegners
0,c-720,FC Porto,n-136,,279.30m,Estádio do Dragão,28,26.6,9,35740000.0,15
1,c-294,SL Benfica,n-136,,313.00m,Estádio da Luz,24,25.0,10,148170000.0,14
2,c-336,Sporting CP,n-136,,234.50m,Estádio José Alvalade XXI,33,24.5,7,71530000.0,16
3,c-1075,SC Braga,n-136,,111.30m,Estádio Municipal de Braga,25,25.9,3,48730000.0,14
4,c-2420,Vitória Guimarães SC,n-136,,39.50m,Estádio D. Afonso Henriques,29,24.1,4,13490000.0,12
5,c-1301,CS Marítimo,n-136,,16.75m,Estádio do Marítimo,29,26.6,4,-750000.0,18
6,c-982,CD Nacional,n-136,,5.28m,Estádio da Madeira,27,25.0,2,0.0,12
7,c-2995,FC Paços de Ferreira,n-136,,15.38m,Estádio Capital do Móvel,28,25.7,2,4960000.0,12
8,c-2990,Académica Coimbra,n-136,,,Estádio Cidade de Coimbra,26,25.3,0,150000.0,6
9,c-2425,Rio Ave FC,n-136,,12.88m,Estádio dos Arcos,24,27.4,0,600000.0,12
10,c-4750,SC Olhanense,n-136,,,Estádio José Arcanjo,21,23.0,0,0.0,10
11,c-1085,Vitória Setúbal FC,n-136,,375k,Estádio do Bonfim,29,26.0,0,0.0,10
12,c-2639,União de Leiria,n-136,,275k,Estádio Municipal de Leiria - Dr. Magalhães Pessoa,29,25.8,1,0.0,10
13,c-4814,Associação Naval 1893,n-136,,,Estádio Municipal José Bento Pessoa,0,,0,0.0,
14,c-1436,SC Beira-Mar,n-136,,,Estádio Mário Duarte,27,26.8,1,0.0,6
15,c-7378,Portimonense SC,n-136,,19.75m,Portimonense Estádio,32,25.2,3,12100000.0,23
16,c-720,FC Porto,n-136,,279.30m,Estádio do Dragão,28,26.6,9,35740000.0,15
17,c-294,SL Benfica,n-136,,313.00m,Estádio da Luz,24,25.0,10,148170000.0,14
18,c-336,Sporting CP,n-136,,234.50m,Estádio José Alvalade XXI,33,24.5,7,71530000.0,16
19,c-1075,SC Braga,n-136,,111.30m,Estádio Municipal de Braga,25,25.9,3,48730000.0,14
20,c-2420,Vitória Guimarães SC,n-136,,39.50m,Estádio D. Afonso Henriques,29,24.1,4,13490000.0,12
21,c-982,CD Nacional,n-136,,5.28m,Estádio da Madeira,27,25.0,2,0.0,12
22,c-2990,Académica Coimbra,n-136,,,Estádio Cidade de Coimbra,26,25.3,0,150000.0,6
23,c-2425,Rio Ave FC,n-136,,12.88m,Estádio dos Arcos,24,27.4,0,600000.0,12
24,c-1085,Vitória Setúbal FC,n-136,,375k,Estádio do Bonfim,29,26.0,0,0.0,10
25,c-2639,União de Leiria,n-136,,275k,Estádio Municipal de Leiria - Dr. Magalhães Pessoa,29,25.8,1,0.0,10
26,c-1436,SC Beira-Mar,n-136,,,Estádio Mário Duarte,27,26.8,1,0.0,6
27,c-1301,CS Marítimo,n-136,,16.75m,Estádio do Marítimo,29,26.6,4,-750000.0,18
28,c-4750,SC Olhanense,n-136,,,Estádio José Arcanjo,21,23.0,0,0.0,10
29,c-2995,FC Paços de Ferreira,n-136,,15.38m,Estádio Capital do Móvel,28,25.7,2,4960000.0,12
30,c-3349,CD Feirense,n-136,,6.03m,Estádio Marcolino de Castro,24,25.0,2,325000.0,11
31,c-2424,Gil Vicente FC,n-136,,28.55m,Estádio Cidade de Barcelos,25,25.7,4,5350000.0,17
32,c-720,FC Porto,n-136,,279.30m,Estádio do Dragão,28,26.6,9,35740000.0,15
33,c-294,SL Benfica,n-136,,313.00m,Estádio da Luz,24,25.0,10,148170000.0,14
34,c-336,Sporting CP,n-136,,234.50m,Estádio José Alvalade XXI,33,24.5,7,71530000.0,16
35,c-1075,SC Braga,n-136,,111.30m,Estádio Municipal de Braga,25,25.9,3,48730000.0,14
36,c-1301,CS Marítimo,n-136,,16.75m,Estádio do Marítimo,29,26.6,4,-750000.0,18
37,c-982,CD Nacional,n-136,,5.28m,Estádio da Madeira,27,25.0,2,0.0,12
38,c-2420,Vitória Guimarães SC,n-136,,39.50m,Estádio D. Afonso Henriques,29,24.1,4,13490000.0,12
39,c-2995,FC Paços de Ferreira,n-136,,15.38m,Estádio Capital do Móvel,28,25.7,2,4960000.0,12
40,c-2425,Rio Ave FC,n-136,,12.88m,Estádio dos Arcos,24,27.4,0,600000.0,12
