,club_id,season_id,competition_id,rank,matches,win,draw,loss,goals_scored,goals_conceded,players_avg_age
0,c-720,s-2010,PO1,1,30,27,3,0,73,16,26.1
1,c-294,s-2010,PO1,2,30,20,3,7,61,31,26.1
2,c-336,s-2010,PO1,3,30,13,9,8,41,31,26.1
3,c-1075,s-2010,PO1,4,30,13,7,10,45,33,26.1
4,c-2420,s-2010,PO1,5,30,12,7,11,36,37,26.1
5,c-982,s-2010,PO1,6,30,11,9,10,28,31,26.1
6,c-2995,s-2010,PO1,7,30,10,11,9,35,42,26.1
7,c-2425,s-2010,PO1,8,30,10,8,12,35,33,26.1
8,c-1301,s-2010,PO1,9,30,9,8,13,33,32,26.1
9,c-2639,s-2010,PO1,10,30,9,8,13,25,38,26.1
10,c-4750,s-2010,PO1,11,30,7,13,10,24,34,26.1
11,c-1085,s-2010,PO1,12,30,8,10,12,29,42,26.1
12,c-1436,s-2010,PO1,13,30,7,12,11,32,36,26.1
13,c-2990,s-2010,PO1,14,30,7,9,14,32,48,26.1
14,c-7378,s-2010,PO1,15,30,6,7,17,29,49,26.1
15,c-4814,s-2010,PO1,16,30,5,8,17,26,51,26.1
16,c-720,s-2011,PO1,1,30,23,6,1,69,19,26.1
17,c-294,s-2011,PO1,2,30,21,6,3,66,27,26.1
18,c-1075,s-2011,PO1,3,30,19,5,6,59,29,26.1
19,c-336,s-2011,PO1,4,30,18,5,7,47,26,26.1
20,c-1301,s-2011,PO1,5,30,14,8,8,41,38,26.1
21,c-2420,s-2011,PO1,6,30,14,3,13,40,40,26.1
22,c-982,s-2011,PO1,7,30,13,5,12,48,50,26.1
23,c-4750,s-2011,PO1,8,30,9,12,9,36,38,26.1
24,c-2424,s-2011,PO1,9,30,8,10,12,31,42,26.1
25,c-2995,s-2011,PO1,10,30,8,7,15,35,53,26.1
26,c-1085,s-2011,PO1,11,30,8,6,16,24,49,26.1
27,c-2990,s-2011,PO1,12,30,7,8,15,27,38,26.1
28,c-1436,s-2011,PO1,13,30,8,5,17,26,38,26.1
29,c-2425,s-2011,PO1,14,30,7,7,16,33,42,26.1
30,c-3349,s-2011,PO1,15,30,5,9,16,27,49,26.1
31,c-2639,s-2011,PO1,16,30,5,4,21,25,56,26.1
32,c-720,s-2012,PO1,1,30,24,6,0,70,14,26.1
33,c-294,s-2012,PO1,2,30,24,5,1,77,20,26.1
34,c-2995,s-2012,PO1,3,30,14,12,4,42,29,26.1
35,c-1075,s-2012,PO1,4,30,16,4,10,60,44,26.1
36,c-1465,s-2012,PO1,5,30,13,6,11,47,37,26.1
37,c-336,s-2012,PO1,6,30,11,9,10,36,36,26.1
38,c-2425,s-2012,PO1,7,30,12,6,12,35,42,26.1
39,c-982,s-2012,PO1,8,30,11,7,12,45,51,26.1
40,c-2420,s-2012,PO1,9,30,11,7,12,36,47,26.1
41,c-1301,s-2012,PO1,10,30,9,11,10,34,45,26.1
42,c-2990,s-2012,PO1,11,30,6,10,14,33,45,26.1
43,c-1085,s-2012,PO1,12,30,7,5,18,30,55,26.1
44,c-4750,s-2012,PO1,13,30,5,10,15,26,42,26.1
45,c-2424,s-2012,PO1,14,30,6,7,17,31,54,26.1
46,c-979,s-2012,PO1,15,30,5,9,16,30,51,26.1
47,c-1436,s-2012,PO1,16,30,5,8,17,35,55,26.1
48,c-294,s-2013,PO1,1,30,23,5,2,58,18,26.1
49,c-336,s-2013,PO1,2,30,20,7,3,54,20,26.1
50,c-720,s-2013,PO1,3,30,19,4,7,57,25,26.1
51,c-1465,s-2013,PO1,4,30,15,9,6,42,26,26.1
52,c-982,s-2013,PO1,5,30,11,12,7,43,33,26.1
53,c-1301,s-2013,PO1,6,30,11,8,11,40,44,26.1
54,c-1085,s-2013,PO1,7,30,10,9,11,41,41,26.1
55,c-2990,s-2013,PO1,8,30,9,10,11,25,35,26.1
56,c-1075,s-2013,PO1,9,30,10,7,13,39,37,26.1
57,c-2420,s-2013,PO1,10,30,10,5,15,30,35,26.1
58,c-2425,s-2013,PO1,11,30,8,8,14,21,35,26.1
59,c-8024,s-2013,PO1,12,30,8,7,15,28,42,26.1
60,c-2424,s-2013,PO1,13,30,8,7,15,23,37,26.1
61,c-68608,s-2013,PO1,14,30,6,10,14,19,33,26.1
62,c-4750,s-2013,PO1,15,30,6,6,18,21,49,26.1
63,c-2995,s-2013,PO1,16,30,6,6,18,28,59,26.1
64,c-294,s-2014,PO1,1,34,27,4,3,86,16,26.1
65,c-720,s-2014,PO1,2,34,25,7,2,74,13,26.1
66,c-336,s-2014,PO1,3,34,22,10,2,67,29,26.1
67,c-1075,s-2014,PO1,4,34,17,7,10,55,28,26.1
68,c-2420,s-2014,PO1,5,34,15,10,9,50,35,26.1
69,c-68608,s-2014,PO1,6,34,12,12,10,34,35,26.1
70,c-982,s-2014,PO1,7,34,13,8,13,45,46,26.1
71,c-2995,s-2014,PO1,8,34,12,11,11,40,45,26.1
72,c-1301,s-2014,PO1,9,34,12,8,14,46,45,26.1
73,c-2425,s-2014,PO1,10,34,10,13,11,38,42,26.1
74,c-979,s-2014,PO1,11,34,11,10,13,33,42,26.1
75,c-1465,s-2014,PO1,12,34,9,13,12,38,56,26.1
76,c-2503,s-2014,PO1,13,34,9,7,18,27,50,26.1
77,c-2990,s-2014,PO1,14,34,4,17,13,26,46,26.1
78,c-1085,s-2014,PO1,15,34,7,8,19,24,56,26.1
79,c-8024,s-2014,PO1,16,34,7,7,20,26,50,26.1
80,c-2424,s-2014,PO1,17,34,4,11,19,25,60,26.1
81,c-3327,s-2014,PO1,18,34,5,7,22,29,69,26.1
82,c-294,s-2015,PO1,1,34,29,1,4,88,22,26.1
83,c-336,s-2015,PO1,2,34,27,5,2,79,21,26.1
84,c-720,s-2015,PO1,3,34,23,4,7,67,30,26.1
85,c-1075,s-2015,PO1,4,34,16,10,8,54,35,26.1
86,c-8024,s-2015,PO1,5,34,13,15,6,47,38,26.1
87,c-2425,s-2015,PO1,6,34,14,8,12,44,44,26.1
88,c-2995,s-2015,PO1,7,34,13,10,11,43,42,26.1
89,c-1465,s-2015,PO1,8,34,13,8,13,40,41,26.1
90,c-68608,s-2015,PO1,9,34,10,11,13,44,66,26.1
91,c-2420,s-2015,PO1,10,34,9,13,12,45,53,26.1
92,c-982,s-2015,PO1,11,34,10,8,16,40,56,26.1
93,c-979,s-2015,PO1,12,34,9,9,16,38,54,26.1
94,c-1301,s-2015,PO1,13,34,10,5,19,45,63,26.1
95,c-2503,s-2015,PO1,14,34,8,9,17,24,41,26.1
96,c-7179,s-2015,PO1,15,34,8,6,20,34,54,26.1
97,c-1085,s-2015,PO1,16,34,6,12,16,40,61,26.1
98,c-976,s-2015,PO1,17,34,7,8,19,27,50,26.1
99,c-2990,s-2015,PO1,18,34,5,10,19,32,60,26.1
100,c-294,s-2016,PO1,1,34,25,7,2,72,18,26.1
101,c-720,s-2016,PO1,2,34,22,10,2,71,19,26.1
102,c-336,s-2016,PO1,3,34,21,7,6,68,36,26.1
103,c-2420,s-2016,PO1,4,34,18,8,8,50,39,26.1
104,c-1075,s-2016,PO1,5,34,15,9,10,51,36,26.1
105,c-1301,s-2016,PO1,6,34,13,11,10,34,32,26.1
106,c-2425,s-2016,PO1,7,34,14,7,13,41,39,26.1
107,c-3349,s-2016,PO1,8,34,14,6,14,31,45,26.1
108,c-2503,s-2016,PO1,9,34,10,13,11,33,36,26.1
109,c-1465,s-2016,PO1,10,34,10,8,16,36,42,26.1
110,c-3325,s-2016,PO1,11,34,8,14,12,35,42,26.1
111,c-1085,s-2016,PO1,12,34,10,8,16,30,39,26.1
112,c-2995,s-2016,PO1,13,34,8,12,14,32,45,26.1
113,c-68608,s-2016,PO1,14,34,9,9,16,27,45,26.1
114,c-979,s-2016,PO1,15,34,8,9,17,33,48,26.1
115,c-7179,s-2016,PO1,16,34,8,8,18,29,52,26.1
116,c-8024,s-2016,PO1,17,34,9,5,20,33,57,26.1
117,c-982,s-2016,PO1,18,34,4,9,21,22,58,26.1
118,c-720,s-2017,PO1,1,34,28,4,2,82,18,26.1
119,c-294,s-2017,PO1,2,34,25,6,3,80,22,26.1
120,c-336,s-2017,PO1,3,34,24,6,4,63,24,26.1
121,c-1075,s-2017,PO1,4,34,24,3,7,74,29,26.1
122,c-2425,s-2017,PO1,5,34,15,6,13,40,42,26.1
123,c-3325,s-2017,PO1,6,34,13,8,13,47,55,26.1
124,c-1301,s-2017,PO1,7,34,13,8,13,36,49,26.1
125,c-2503,s-2017,PO1,8,34,13,6,15,35,44,26.1
126,c-2420,s-2017,PO1,9,34,13,4,17,45,56,26.1
127,c-7378,s-2017,PO1,10,34,10,8,16,52,60,26.1
128,c-7179,s-2017,PO1,11,34,10,8,16,41,50,26.1
129,c-68608,s-2017,PO1,12,34,9,10,15,33,46,26.1
130,c-3336,s-2017,PO1,13,34,9,7,18,36,51,26.1
131,c-979,s-2017,PO1,14,34,8,8,18,29,50,26.1
132,c-1085,s-2017,PO1,15,34,7,11,16,39,62,26.1
133,c-3349,s-2017,PO1,16,34,9,4,21,32,48,26.1
134,c-2995,s-2017,PO1,17,34,7,9,18,33,59,26.1
135,c-1465,s-2017,PO1,18,34,8,6,20,29,61,26.1
136,c-294,s-2018,PO1,1,34,28,3,3,103,31,26.1
137,c-720,s-2018,PO1,2,34,27,4,3,74,20,26.1
138,c-336,s-2018,PO1,3,34,23,5,6,72,33,26.1
139,c-1075,s-2018,PO1,4,34,21,4,9,56,37,26.1
140,c-2420,s-2018,PO1,5,34,15,7,12,46,34,26.1
141,c-979,s-2018,PO1,6,34,16,4,14,39,44,26.1
142,c-2425,s-2018,PO1,7,34,12,9,13,50,52,26.1
143,c-2503,s-2018,PO1,8,34,13,5,16,34,40,26.1
144,c-2457,s-2018,PO1,9,34,10,13,11,42,51,26.1
145,c-2423,s-2018,PO1,10,34,11,9,14,43,45,26.1
146,c-7378,s-2018,PO1,11,34,11,6,17,44,59,26.1
147,c-1301,s-2018,PO1,12,34,12,3,19,26,44,26.1
148,c-1085,s-2018,PO1,13,34,8,12,14,28,39,26.1
149,c-3336,s-2018,PO1,14,34,10,6,18,35,49,26.1
150,c-7179,s-2018,PO1,15,34,9,8,17,40,54,26.1
151,c-3325,s-2018,PO1,16,34,8,8,18,34,57,26.1
152,c-982,s-2018,PO1,17,34,7,7,20,33,73,26.1
153,c-3349,s-2018,PO1,18,34,3,11,20,27,64,26.1
154,c-720,s-2019,PO1,1,34,26,4,4,74,22,26.1
155,c-294,s-2019,PO1,2,34,24,5,5,71,26,26.1
156,c-1075,s-2019,PO1,3,34,18,6,10,61,40,26.1
157,c-336,s-2019,PO1,4,34,18,6,10,49,34,26.1
158,c-2425,s-2019,PO1,5,34,15,10,9,48,36,26.1
159,c-3329,s-2019,PO1,6,34,14,12,8,53,51,26.1
160,c-2420,s-2019,PO1,7,34,13,11,10,53,38,26.1
161,c-979,s-2019,PO1,8,34,10,13,11,42,44,26.1
162,c-2423,s-2019,PO1,9,34,11,10,13,36,41,26.1
163,c-2424,s-2019,PO1,10,34,11,10,13,40,44,26.1
164,c-1301,s-2019,PO1,11,34,9,12,13,34,42,26.1
165,c-2503,s-2019,PO1,12,34,10,9,15,28,39,26.1
166,c-2995,s-2019,PO1,13,34,11,6,17,36,52,26.1
167,c-7179,s-2019,PO1,14,34,9,9,16,30,44,26.1
168,c-2457,s-2019,PO1,15,34,9,8,17,27,54,26.1
169,c-1085,s-2019,PO1,16,34,7,13,14,27,43,26.1
170,c-7378,s-2019,PO1,17,34,7,12,15,30,45,26.1
171,c-3336,s-2019,PO1,18,34,5,2,27,24,68,26.1
172,c-336,s-2020,PO1,1,34,26,7,1,65,20,26.1
173,c-720,s-2020,PO1,2,34,24,8,2,74,29,26.1
174,c-294,s-2020,PO1,3,34,23,7,4,69,27,26.1
175,c-1075,s-2020,PO1,4,34,19,7,8,53,33,26.1
176,c-2995,s-2020,PO1,5,34,15,8,11,40,41,26.1
177,c-2423,s-2020,PO1,6,34,13,7,14,44,36,26.1
178,c-2420,s-2020,PO1,7,34,12,7,15,37,44,26.1
179,c-979,s-2020,PO1,8,34,10,13,11,37,43,26.1
180,c-3329,s-2020,PO1,9,34,10,10,14,40,48,26.1
181,c-2457,s-2020,PO1,10,34,9,13,12,25,35,26.1
182,c-2424,s-2020,PO1,11,34,11,6,17,33,42,26.1
183,c-7179,s-2020,PO1,12,34,10,6,18,36,57,26.1
184,c-2503,s-2020,PO1,13,34,8,12,14,39,49,26.1
185,c-7378,s-2020,PO1,14,34,9,8,17,34,41,26.1
186,c-1301,s-2020,PO1,15,34,10,5,19,27,47,26.1
187,c-2425,s-2020,PO1,16,34,7,13,14,25,40,26.1
188,c-4294,s-2020,PO1,17,34,7,10,17,31,48,26.1
189,c-982,s-2020,PO1,18,34,6,7,21,30,59,26.1
190,c-720,s-2021,PO1,1,34,29,4,1,86,22,26.1
191,c-336,s-2021,PO1,2,34,27,4,3,73,23,26.1
192,c-294,s-2021,PO1,3,34,23,5,6,78,30,26.1
193,c-1075,s-2021,PO1,4,34,19,8,7,52,31,26.1
194,c-2424,s-2021,PO1,5,34,13,12,9,47,42,26.1
195,c-2420,s-2021,PO1,6,34,13,9,12,50,41,26.1
196,c-2423,s-2021,PO1,7,34,9,13,12,38,54,26.1
197,c-3329,s-2021,PO1,8,34,9,12,13,45,51,26.1
198,c-1465,s-2021,PO1,9,34,9,12,13,36,43,26.1
