,club_id,name,country_id,foundation_date,value,stadium,squad_size,average_age,national_players,current_transform_record,foriegners
0,c-631,Chelsea FC,n-189,,1.02bn,Stamford Bridge,32,25.5,23,-543660000.0,21
1,c-281,Manchester City,n-189,,1.05bn,Etihad Stadium,24,26.8,17,11670000.0,16
2,c-985,Manchester United,n-189,,795.70m,Old Trafford,32,26.0,18,-230030000.0,20
3,c-31,Liverpool FC,n-189,,879.00m,Anfield,30,26.7,17,-56600000.0,21
4,c-11,Arsenal FC,n-189,,890.00m,Emirates Stadium,23,25.2,17,-168560000.0,16
5,c-148,Tottenham Hotspur,n-189,,680.30m,Tottenham Hotspur Stadium,25,26.7,16,-139150000.0,17
6,c-405,Aston Villa,n-189,,437.00m,Villa Park,23,27.2,14,-46140000.0,16
7,c-29,Everton FC,n-189,,352.90m,Goodison Park,25,27.4,8,25400000.0,11
8,c-289,Sunderland AFC,n-189,,59.25m,Stadium of Light,26,23.5,6,-6060000.0,12
9,c-379,West Ham United,n-189,,451.50m,London Stadium,22,28.3,13,-172450000.0,16
10,c-762,Newcastle United,n-189,,494.30m,St James' Park,29,27.4,11,-172050000.0,17
11,c-931,Fulham FC,n-189,,253.50m,Craven Cottage,24,28.1,14,-49300000.0,22
12,c-355,Bolton Wanderers,n-189,,19.50m,University of Bolton Stadium,25,26.1,3,30000.0,14
13,c-337,Birmingham City,n-189,,49.00m,St Andrew's,26,26.3,7,-1610000.0,11
14,c-512,Stoke City,n-189,,52.25m,bet365 Stadium,24,26.7,6,17000000.0,9
15,c-164,Blackburn Rovers,n-189,,70.65m,Ewood Park,27,24.0,4,-1750000.0,8
16,c-984,West Bromwich Albion,n-189,,63.95m,The Hawthorns,25,27.8,4,-1350000.0,8
17,c-543,Wolverhampton Wanderers,n-189,,398.70m,Molineux Stadium,28,26.2,14,-114240000.0,24
18,c-1071,Wigan Athletic,n-189,,19.95m,DW Stadium,27,27.9,8,0.0,15
19,c-1181,Blackpool FC,n-189,,35.10m,Bloomfield Road,30,26.3,3,1950000.0,10
20,c-281,Manchester City,n-189,,1.05bn,Etihad Stadium,24,26.8,17,11670000.0,16
21,c-985,Manchester United,n-189,,795.70m,Old Trafford,32,26.0,18,-230030000.0,20
22,c-631,Chelsea FC,n-189,,1.02bn,Stamford Bridge,32,25.5,23,-543660000.0,21
