,club_id,season_id,competition_id,rank,matches,win,draw,loss,goals_scored,goals_conceded,players_avg_age
0,c-985,s-2010,GB1,1,38,23,11,4,78,37,27.1
1,c-631,s-2010,GB1,2,38,21,8,9,69,33,27.1
2,c-281,s-2010,GB1,3,38,21,8,9,60,33,27.1
3,c-11,s-2010,GB1,4,38,19,11,8,72,43,27.1
4,c-148,s-2010,GB1,5,38,16,14,8,55,46,27.1
5,c-31,s-2010,GB1,6,38,17,7,14,59,44,27.1
6,c-29,s-2010,GB1,7,38,13,15,10,51,45,27.1
7,c-931,s-2010,GB1,8,38,11,16,11,49,43,27.1
8,c-405,s-2010,GB1,9,38,12,12,14,48,59,27.1
9,c-289,s-2010,GB1,10,38,12,11,15,45,56,27.1
10,c-984,s-2010,GB1,11,38,12,11,15,56,71,27.1
11,c-762,s-2010,GB1,12,38,11,13,14,56,57,27.1
12,c-512,s-2010,GB1,13,38,13,7,18,46,48,27.1
13,c-355,s-2010,GB1,14,38,12,10,16,52,56,27.1
14,c-164,s-2010,GB1,15,38,11,10,17,46,59,27.1
15,c-1071,s-2010,GB1,16,38,9,15,14,40,61,27.1
16,c-543,s-2010,GB1,17,38,11,7,20,46,66,27.1
17,c-337,s-2010,GB1,18,38,8,15,15,37,58,27.1
18,c-1181,s-2010,GB1,19,38,10,9,19,55,78,27.1
19,c-379,s-2010,GB1,20,38,7,12,19,43,70,27.1
20,c-281,s-2011,GB1,1,38,28,5,5,93,29,27.1
21,c-985,s-2011,GB1,2,38,28,5,5,89,33,27.1
22,c-11,s-2011,GB1,3,38,21,7,10,74,49,27.1
23,c-148,s-2011,GB1,4,38,20,9,9,66,41,27.1
24,c-762,s-2011,GB1,5,38,19,8,11,56,51,27.1
25,c-631,s-2011,GB1,6,38,18,10,10,65,46,27.1
26,c-29,s-2011,GB1,7,38,15,11,12,50,40,27.1
27,c-31,s-2011,GB1,8,38,14,10,14,47,40,27.1
28,c-931,s-2011,GB1,9,38,14,10,14,48,51,27.1
29,c-984,s-2011,GB1,10,38,13,8,17,45,52,27.1
30,c-2288,s-2011,GB1,11,38,12,11,15,44,51,27.1
31,c-1123,s-2011,GB1,12,38,12,11,15,52,66,27.1
32,c-289,s-2011,GB1,13,38,11,12,15,45,46,27.1
33,c-512,s-2011,GB1,14,38,11,12,15,36,53,27.1
34,c-1071,s-2011,GB1,15,38,11,10,17,42,62,27.1
35,c-405,s-2011,GB1,16,38,7,17,14,37,53,27.1
36,c-1039,s-2011,GB1,17,38,10,7,21,43,66,27.1
37,c-355,s-2011,GB1,18,38,10,6,22,46,77,27.1
38,c-164,s-2011,GB1,19,38,8,7,23,48,78,27.1
39,c-543,s-2011,GB1,20,38,5,10,23,40,82,27.1
40,c-985,s-2012,GB1,1,38,28,5,5,86,43,27.1
41,c-281,s-2012,GB1,2,38,23,9,6,66,34,27.1
42,c-631,s-2012,GB1,3,38,22,9,7,75,39,27.1
43,c-11,s-2012,GB1,4,38,21,10,7,72,37,27.1
44,c-148,s-2012,GB1,5,38,21,9,8,66,46,27.1
