Player ID,Player Name,Team ID,Player Birth Date,Player Age,Player Height,Player Joined,Player Expires,Player Position,Player Foot,Player Agent,Player Value,Player National ID
p-238223,Ederson,c-281,"Aug 17, 1993",29,188,"Jul 1, 2017","Jun 30, 2026",Goalkeeper,left,Gestifute,45000000.0,n-3439
p-85941,Stefan Ortega,c-281,"Nov 6, 1992",30,185,"Jul 1, 2022","Jun 30, 2025",Goalkeeper,right,neblung ...,6000000.0,n-5710
p-14555,Scott Carson,c-281,"Sep 3, 1985",37,188,"Jul 20, 2021","Jun 30, 2023",Goalkeeper,right,Wasserman,250000.0,n-3299
p-258004,Ruben Dias,c-281,"May 14, 1997",26,187,"Sep 29, 2020","Jun 30, 2027",Defender - Centre-Back,right,Gestifute,75000000.0,n-3300
p-177476,Nathan Ake,c-281,"Feb 18, 1995",28,180,"Aug 5, 2020","Jun 30, 2025",Defender - Centre-Back,left,Wasserman,35000000.0,n-3379
p-186590,John Stones,c-281,"May 28, 1994",28,England,"Aug 9, 2016","Jun 30, 2026",Defender - Centre-Back,right,Wasserman,30000000.0,n-3299
p-176553,Aymeric Laporte,c-281,"May 27, 1994",28,189,"Jun 30, 2025","Feb 22, 2019",Defender - Centre-Back,left,Manchester City,30000000.0,n-3375
p-284730,Manuel Akanji,c-281,"Jul 19, 1995",27,188,"Sep 1, 2022","Jun 30, 2027",Defender - Centre-Back,right,IFM,30000000.0,n-3384
p-366930,Sergio Gomez,c-281,"Sep 4, 2000",22,171,"Aug 16, 2022","Jun 30, 2026",Defender - Left-Back,left,SEG,15000000.0,n-9567
p-157495,Benjamin Mendy,c-281,"Jul 17, 1994",28,France,"Jul 24, 2017","Jun 30, 2023",Defender - Left-Back,left,Sport Cover,,n-3377
p-95424,Kyle Walker,c-281,"May 28, 1990",32,183,"Jul 14, 2017","Jun 30, 2024",Defender - Right-Back,right,CAA Base Ltd,15000000.0,n-3299
p-701057,Rico Lewis,c-281,"Nov 21, 2004",18,169,"Jul 1, 2022","Jun 30, 2024",Defender - Right-Back,right,CAA Base Ltd,15000000.0,n-9565
p-357565,Rodri,c-281,"Jun 22, 1996",26,191,"Jul 4, 2019","Jun 30, 2027",midfield - Defensive Midfield,right,Pablo Barquero,80000000.0,n-3375
p-351749,Kalvin Phillips,c-281,"Dec 2, 1995",27,179,"Jul 4, 2022","Jun 30, 2028",midfield - Defensive Midfield,right,CAA Stellar,35000000.0,n-3299
p-668547,Maximo Perrone,c-281,"Jan 7, 2003",20,Argentina,"Jun 30, 2028",,midfield - Defensive Midfield,left,Manchester City,10000000.0,n-11940
p-53622,Ilkay Gundogan,c-281,"Oct 24, 1990",32,180,"Jul 1, 2016","Jun 30, 2023",midfield - Central Midfield,right,KIN Partners,25000000.0,n-3262
p-88755,Kevin De Bruyne,c-281,"Jun 28, 1991",31,Belgium,"Jun 30, 2025","Apr 7, 2021",midfield - Attacking Midfield,right,Manchester City,80000000.0,n-3382
p-241641,Bernardo Silva,c-281,"Aug 10, 1994",28,173,"Jul 1, 2017","Jun 30, 2025",midfield - Attacking Midfield,left,Gestifute,80000000.0,n-3300
